brands,categories,code,nutriments,nutrition_grades,product_name
Star,"Condiments,Vinaigres,Vinaigres blancs",6111184001661,"{'carbohydrates': 0.15, 'carbohydrates_100g': 0.15, 'carbohydrates_unit': 'g', 'carbohydrates_value': 0.15, 'energy': 4, 'energy-kcal': 1, 'energy-kcal_100g': 1, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 1, 'energy-kcal_value_computed': 0.6, 'energy_100g': 4, 'energy_unit': 'kcal', 'energy_value': 1, 'fat': 0, 'fat_100g': 0, 'fat_unit': 'g', 'fat_value': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 2, 'nova-group_100g': 2, 'nova-group_serving': 2, 'proteins': 0, 'proteins_100g': 0, 'proteins_unit': 'g', 'proteins_value': 0, 'salt': 0, 'salt_100g': 0, 'salt_unit': 'g', 'salt_value': 0, 'saturated-fat': 0, 'saturated-fat_100g': 0, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0, 'sodium': 0, 'sodium_100g': 0, 'sodium_unit': 'g', 'sodium_value': 0, 'sugars': 0.15, 'sugars_100g': 0.15, 'sugars_unit': 'g', 'sugars_value': 0.15}",not-applicable,Star vinaigre de table BLANC
Lindt,"Produits laitiers,Produits fermentés,Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette,Chocolat noir en tablette extra dégustation à 70% de cacao minimum",3046920022651,"{'carbohydrates': 34, 'carbohydrates_100g': 34, 'carbohydrates_serving': 34, 'carbohydrates_unit': 'g', 'carbohydrates_value': 34, 'cocoa': 70, 'cocoa_100g': 70, 'cocoa_label': '0', 'cocoa_serving': 70, 'cocoa_unit': 'g', 'cocoa_value': 70, 'energy': 2350, 'energy-kcal': 566, 'energy-kcal_100g': 566, 'energy-kcal_serving': 566, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 566, 'energy-kcal_value_computed': 543, 'energy-kj': 2350, 'energy-kj_100g': 2350, 'energy-kj_serving': 2350, 'energy-kj_unit': 'kJ', 'energy-kj_value': 2350, 'energy-kj_value_computed': 2256.5, 'energy_100g': 2350, 'energy_serving': 2350, 'energy_unit': 'kJ', 'energy_value': 2350, 'fat': 41, 'fat_100g': 41, 'fat_serving': 41, 'fat_unit': 'g', 'fat_value': 41, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 3, 'nova-group_100g': 3, 'nova-group_serving': 3, 'nutrition-score-fr': 25, 'nutrition-score-fr_100g': 25, 'proteins': 9.5, 'proteins_100g': 9.5, 'proteins_serving': 9.5, 'proteins_unit': 'g', 'proteins_value': 9.5, 'salt': 0.1, 'salt_100g': 0.1, 'salt_serving': 0.1, 'salt_unit': 'g', 'salt_value': 0.1, 'saturated-fat': 24, 'saturated-fat_100g': 24, 'saturated-fat_serving': 24, 'saturated-fat_unit': 'g', 'saturated-fat_value': 24, 'sodium': 0.04, 'sodium_100g': 0.04, 'sodium_serving': 0.04, 'sodium_unit': 'g', 'sodium_value': 0.04, 'sugars': 30, 'sugars_100g': 30, 'sugars_serving': 30, 'sugars_unit': 'g', 'sugars_value': 30}",e,Excellence Noir Intense 70% Cacao
Gervais,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Plain fermented dairy desserts,Fresh cheeses,fr:Fromages blancs,fr:Fromages blancs natures",6111032008583,"{'carbohydrates': 11.7, 'carbohydrates_100g': 11.7, 'carbohydrates_unit': 'g', 'carbohydrates_value': 11.7, 'energy': 573, 'energy-kcal': 137, 'energy-kcal_100g': 137, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 137, 'energy-kcal_value_computed': 137.8, 'energy_100g': 573, 'energy_unit': 'kcal', 'energy_value': 137, 'fat': 7, 'fat_100g': 7, 'fat_unit': 'g', 'fat_value': 7, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nutrition-score-fr': 7, 'nutrition-score-fr_100g': 7, 'proteins': 7, 'proteins_100g': 7, 'proteins_unit': 'g', 'proteins_value': 7, 'salt': 0.5, 'salt_100g': 0.5, 'salt_unit': 'g', 'salt_value': 0.5, 'saturated-fat': 4.8, 'saturated-fat_100g': 4.8, 'saturated-fat_unit': 'g', 'saturated-fat_value': 4.8, 'sodium': 0.2, 'sodium_100g': 0.2, 'sodium_unit': 'g', 'sodium_value': 0.2, 'sugars': 7.2, 'sugars_100g': 7.2, 'sugars_unit': 'g', 'sugars_value': 7.2}",c,
,"Aliments et boissons à base de végétaux, Produits laitiers, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Matières grasses à tartiner, Matières grasses végétales, Matières grasses animales, Matière grasse laitière, en:dairy-spread, Margarines, Beurres",6111037000599,"{'alcohol': 8, 'alcohol_100g': 8, 'alcohol_serving': 8, 'alcohol_unit': '% vol', 'alcohol_value': 8, 'alpha-linolenic-acid': 8, 'alpha-linolenic-acid_100g': 8, 'alpha-linolenic-acid_serving': 0.32, 'alpha-linolenic-acid_unit': 'g', 'alpha-linolenic-acid_value': 8, 'arachidic-acid': 7, 'arachidic-acid_100g': 7, 'arachidic-acid_serving': 0.28, 'arachidic-acid_unit': 'g', 'arachidic-acid_value': 7, 'carbohydrates': 0.2, 'carbohydrates_100g': 0.2, 'carbohydrates_serving': 0.008, 'carbohydrates_unit': 'g', 'carbohydrates_value': 0.2, 'energy': 2224, 'energy-kcal': 532, 'energy-kcal_100g': 532, 'energy-kcal_serving': 21.3, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 532, 'energy-kcal_value_computed': 607.6, 'energy-kj': 2224, 'energy-kj_100g': 2224, 'energy-kj_serving': 89, 'energy-kj_unit': 'kJ', 'energy-kj_value': 2224, 'energy-kj_value_computed': 2498.8, 'energy_100g': 2224, 'energy_serving': 89, 'energy_unit': 'kJ', 'energy_value': 2224, 'fat': 60, 'fat_100g': 60, 'fat_serving': 2.4, 'fat_unit': 'g', 'fat_value': 60, 'fiber': 5, 'fiber_100g': 5, 'fiber_serving': 0.2, 'fiber_unit': 'g', 'fiber_value': 5, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 9, 'nutrition-score-fr_100g': 9, 'proteins': 0.2, 'proteins_100g': 0.2, 'proteins_serving': 0.008, 'proteins_unit': 'g', 'proteins_value': 0.2, 'salt': 0, 'salt_100g': 0, 'salt_serving': 0, 'salt_unit': 'g', 'salt_value': 0, 'saturated-fat': 21, 'saturated-fat_100g': 21, 'saturated-fat_serving': 0.84, 'saturated-fat_unit': 'g', 'saturated-fat_value': 21, 'sodium': 0, 'sodium_100g': 0, 'sodium_serving': 0, 'sodium_unit': 'g', 'sodium_value': 0, 'sugars': 0, 'sugars_100g': 0, 'sugars_serving': 0, 'sugars_unit': 'g', 'sugars_value': 0}",c,Familia 200g
Bonne Maman,"Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads",3608580065340,"{'carbohydrates': 53, 'carbohydrates_100g': 53, 'carbohydrates_serving': 5.3, 'carbohydrates_unit': 'g', 'carbohydrates_value': 53, 'energy': 2299, 'energy-kcal': 551, 'energy-kcal_100g': 551, 'energy-kcal_serving': 55.1, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 551, 'energy-kcal_value_computed': 551.4, 'energy-kj': 2299, 'energy-kj_100g': 2299, 'energy-kj_serving': 230, 'energy-kj_unit': 'kJ', 'energy-kj_value': 2299, 'energy-kj_value_computed': 2299.3, 'energy_100g': 2299, 'energy_serving': 230, 'energy_unit': 'kJ', 'energy_value': 2299, 'fat': 34, 'fat_100g': 34, 'fat_serving': 3.4, 'fat_unit': 'g', 'fat_value': 34, 'fiber': 3.3, 'fiber_100g': 3.3, 'fiber_serving': 0.33, 'fiber_unit': 'g', 'fiber_value': 3.3, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 25, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 25, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 24, 'nutrition-score-fr_100g': 24, 'proteins': 6.7, 'proteins_100g': 6.7, 'proteins_serving': 0.67, 'proteins_unit': 'g', 'proteins_value': 6.7, 'salt': 0.1, 'salt_100g': 0.1, 'salt_serving': 0.01, 'salt_unit': 'g', 'salt_value': 0.1, 'saturated-fat': 5.2, 'saturated-fat_100g': 5.2, 'saturated-fat_serving': 0.52, 'saturated-fat_unit': 'g', 'saturated-fat_value': 5.2, 'sodium': 0.04, 'sodium_100g': 0.04, 'sodium_serving': 0.004, 'sodium_unit': 'g', 'sodium_value': 0.04, 'sugars': 51, 'sugars_100g': 51, 'sugars_serving': 5.1, 'sugars_unit': 'g', 'sugars_value': 51}",e,Pâte à tartiner noisettes et cacao
Weetabix,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals",5010029000016,"{'carbohydrates': 26, 'carbohydrates_100g': 68.4, 'carbohydrates_serving': 26, 'carbohydrates_unit': 'g', 'carbohydrates_value': 26, 'carbon-footprint-from-known-ingredients_100g': 57, 'carbon-footprint-from-known-ingredients_product': 245, 'carbon-footprint-from-known-ingredients_serving': 21.7, 'energy': 569, 'energy-kcal': 136, 'energy-kcal_100g': 358, 'energy-kcal_serving': 136, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 136, 'energy-kcal_value_computed': 136.8, 'energy_100g': 1500, 'energy_serving': 569, 'energy_unit': 'kcal', 'energy_value': 136, 'fat': 0.8, 'fat_100g': 2.11, 'fat_serving': 0.8, 'fat_unit': 'g', 'fat_value': 0.8, 'fiber': 3.8, 'fiber_100g': 10, 'fiber_serving': 3.8, 'fiber_unit': 'g', 'fiber_value': 3.8, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'iron': 0.0045, 'iron_100g': 0.0118, 'iron_serving': 0.0045, 'iron_unit': 'g', 'iron_value': 0.0045, 'nova-group': 3, 'nova-group_100g': 3, 'nova-group_serving': 3, 'nutrition-score-fr': -3, 'nutrition-score-fr_100g': -3, 'proteins': 4.5, 'proteins_100g': 11.8, 'proteins_serving': 4.5, 'proteins_unit': 'g', 'proteins_value': 4.5, 'salt': 0.0975, 'salt_100g': 0.257, 'salt_serving': 0.0975, 'salt_unit': 'g', 'salt_value': 0.0975, 'saturated-fat': 0.2, 'saturated-fat_100g': 0.526, 'saturated-fat_serving': 0.2, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0.2, 'sodium': 0.039, 'sodium_100g': 0.103, 'sodium_serving': 0.039, 'sodium_unit': 'g', 'sodium_value': 0.039, 'sugars': 1.6, 'sugars_100g': 4.21, 'sugars_serving': 1.6, 'sugars_unit': 'g', 'sugars_value': 1.6, 'vitamin-b1': 0.00035, 'vitamin-b1_100g': 0.000921, 'vitamin-b1_serving': 0.00035, 'vitamin-b1_unit': 'g', 'vitamin-b1_value': 0.00035, 'vitamin-b2': 0.00045, 'vitamin-b2_100g': 0.00118, 'vitamin-b2_serving': 0.00045, 'vitamin-b2_unit': 'g', 'vitamin-b2_value': 0.00045, 'vitamin-b9': 6.4e-05, 'vitamin-b9_100g': 0.000168, 'vitamin-b9_serving': 6.4e-05, 'vitamin-b9_unit': 'g', 'vitamin-b9_value': 6.4e-05}",a,Weetabix
Tyrrell's,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Snacks salés,Amuse-gueules,Chips et frites,Chips,Chips de pommes de terre,Chips de pommes de terre à l'huile de tournesol,Chips de pommes de terre classiques",5060042641000,"{'carbohydrates': 49, 'carbohydrates_100g': 49, 'carbohydrates_serving': 49, 'carbohydrates_unit': 'g', 'carbohydrates_value': 49, 'energy': 1992, 'energy-kcal': 476, 'energy-kcal_100g': 476, 'energy-kcal_serving': 476, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 476, 'energy-kcal_value_computed': 474.8, 'energy_100g': 1990, 'energy_serving': 1992, 'energy_unit': 'kcal', 'energy_value': 476, 'fat': 27, 'fat_100g': 27, 'fat_serving': 27, 'fat_unit': 'g', 'fat_value': 27, 'fiber': 5.5, 'fiber_100g': 5.5, 'fiber_serving': 5.5, 'fiber_unit': 'g', 'fiber_value': 5.5, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 3, 'nova-group_100g': 3, 'nova-group_serving': 3, 'nutrition-score-fr': 8, 'nutrition-score-fr_100g': 8, 'proteins': 6.2, 'proteins_100g': 6.2, 'proteins_serving': 6.2, 'proteins_unit': 'g', 'proteins_value': 6.2, 'salt': 0.825, 'salt_100g': 0.825, 'salt_serving': 0.825, 'salt_unit': 'g', 'salt_value': 0.825, 'saturated-fat': 2.4, 'saturated-fat_100g': 2.4, 'saturated-fat_serving': 2.4, 'saturated-fat_unit': 'g', 'saturated-fat_value': 2.4, 'sodium': 0.33, 'sodium_100g': 0.33, 'sodium_serving': 0.33, 'sodium_unit': 'g', 'sodium_value': 0.33, 'sugars': 0.64, 'sugars_100g': 0.64, 'sugars_serving': 0.64, 'sugars_unit': 'g', 'sugars_value': 0.64}",c,Lightly Sea Salted
Rigoni Di Asiago,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao",8052575090230,"{'carbohydrates': 54, 'carbohydrates_100g': 54, 'carbohydrates_unit': 'g', 'carbohydrates_value': 54, 'energy': 2270, 'energy-kcal': 544, 'energy-kcal_100g': 544, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 544, 'energy-kcal_value_computed': 543.6, 'energy-kj': 2270, 'energy-kj_100g': 2270, 'energy-kj_unit': 'kJ', 'energy-kj_value': 2270, 'energy-kj_value_computed': 2268.5, 'energy_100g': 2270, 'energy_unit': 'kJ', 'energy_value': 2270, 'fat': 32, 'fat_100g': 32, 'fat_unit': 'g', 'fat_value': 32, 'fiber': 3.6, 'fiber_100g': 3.6, 'fiber_unit': 'g', 'fiber_value': 3.6, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 18.5, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 18.5, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 24, 'nutrition-score-fr_100g': 24, 'proteins': 8.1, 'proteins_100g': 8.1, 'proteins_unit': 'g', 'proteins_value': 8.1, 'salt': 0.125, 'salt_100g': 0.125, 'salt_unit': 'g', 'salt_value': 0.125, 'saturated-fat': 5.7, 'saturated-fat_100g': 5.7, 'saturated-fat_unit': 'g', 'saturated-fat_value': 5.7, 'sodium': 0.05, 'sodium_100g': 0.05, 'sodium_unit': 'g', 'sodium_value': 0.05, 'sugars': 51, 'sugars_100g': 51, 'sugars_unit': 'g', 'sugars_value': 51}",e,Nocciolata
Volvic,"beverages-and-beverages-preparations, beverages, waters, spring-waters, mineral-waters, natural-mineral-waters, getränke, de:mineralwasser, natürliches-mineralwasser, de:quellwasser, de:wasser",3057640257773,"{'bicarbonate': 0.074, 'bicarbonate_100g': 0.0074, 'bicarbonate_label': 'Bicarbonate', 'bicarbonate_serving': 0.074, 'bicarbonate_unit': 'mg', 'bicarbonate_value': 74, 'calcium': 0.012, 'calcium_100g': 0.0012, 'calcium_serving': 0.012, 'calcium_unit': 'mg', 'calcium_value': 12, 'carbohydrates': 0, 'carbohydrates_100g': 0, 'carbohydrates_serving': 0, 'carbohydrates_unit': 'g', 'carbohydrates_value': 0, 'chloride': 0.015, 'chloride_100g': 0.0015, 'chloride_serving': 0.015, 'chloride_unit': 'mg', 'chloride_value': 15, 'energy': 0, 'energy-kcal': 0, 'energy-kcal_100g': 0, 'energy-kcal_serving': 0, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 0, 'energy-kcal_value_computed': 0, 'energy_100g': 0, 'energy_serving': 0, 'energy_unit': 'kcal', 'energy_value': 0, 'fat': 0, 'fat_100g': 0, 'fat_serving': 0, 'fat_unit': 'g', 'fat_value': 0, 'fiber': 0, 'fiber_100g': 0, 'fiber_serving': 0, 'fiber_unit': 'g', 'fiber_value': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'magnesium': 0.008, 'magnesium_100g': 0.0008, 'magnesium_serving': 0.008, 'magnesium_unit': 'mg', 'magnesium_value': 8, 'nitrate': 0.0073, 'nitrate_100g': 0.00073, 'nitrate_label': 'Nitrate', 'nitrate_serving': 0.0073, 'nitrate_unit': 'mg', 'nitrate_value': 7.3, 'nova-group': 1, 'nova-group_100g': 1, 'nova-group_serving': 1, 'nutrition-score-fr': 0, 'nutrition-score-fr_100g': 0, 'ph': 7, 'ph_100g': 7, 'ph_serving': 7, 'ph_unit': 'g', 'ph_value': 7, 'potassium': 0.006, 'potassium_100g': 0.0006, 'potassium_serving': 0.006, 'potassium_unit': 'mg', 'potassium_value': 6, 'proteins': 0, 'proteins_100g': 0, 'proteins_serving': 0, 'proteins_unit': 'g', 'proteins_value': 0, 'salt': 0.03, 'salt_100g': 0.003, 'salt_serving': 0.03, 'salt_unit': 'mg', 'salt_value': 30, 'saturated-fat': 0, 'saturated-fat_100g': 0, 'saturated-fat_serving': 0, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0, 'sodium': 0.012, 'sodium_100g': 0.0012, 'sodium_serving': 0.012, 'sodium_unit': 'mg', 'sodium_value': 12, 'sugars': 0, 'sugars_100g': 0, 'sugars_serving': 0, 'sugars_unit': 'g', 'sugars_value': 0, 'sulphate': 0.009, 'sulphate_100g': 0.0009, 'sulphate_label': 'Sulphate', 'sulphate_serving': 0.009, 'sulphate_unit': 'mg', 'sulphate_value': 9}",a,Eau Minérale Naturelle
Green & Black's,"Snacks,Snacks sucrés,Cacao et dérivés,Confiseries,Confiseries chocolatées,Chocolats,Chocolats noirs",7622210584724,"{'carbohydrates': 24, 'carbohydrates_100g': 24, 'carbohydrates_serving': 4.32, 'carbohydrates_unit': 'g', 'carbohydrates_value': 24, 'cocoa': 85, 'cocoa_100g': 85, 'cocoa_label': 'Cocoa (minimum)', 'cocoa_serving': 85, 'cocoa_unit': 'g', 'cocoa_value': 85, 'energy': 2512, 'energy-kcal': 607, 'energy-kcal_100g': 607, 'energy-kcal_serving': 109, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 607, 'energy-kcal_value_computed': 612, 'energy-kj': 2512, 'energy-kj_100g': 2512, 'energy-kj_serving': 452, 'energy-kj_unit': 'kJ', 'energy-kj_value': 2512, 'energy-kj_value_computed': 2532, 'energy_100g': 2512, 'energy_serving': 452, 'energy_unit': 'kJ', 'energy_value': 2512, 'fat': 50, 'fat_100g': 50, 'fat_serving': 9, 'fat_unit': 'g', 'fat_value': 50, 'fiber': 13, 'fiber_100g': 13, 'fiber_serving': 2.34, 'fiber_unit': 'g', 'fiber_value': 13, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 3, 'nova-group_100g': 3, 'nova-group_serving': 3, 'nutrition-score-fr': 15, 'nutrition-score-fr_100g': 15, 'proteins': 10, 'proteins_100g': 10, 'proteins_serving': 1.8, 'proteins_unit': 'g', 'proteins_value': 10, 'salt': 0.13, 'salt_100g': 0.13, 'salt_serving': 0.0234, 'salt_unit': 'g', 'salt_value': 0.13, 'saturated-fat': 30, 'saturated-fat_100g': 30, 'saturated-fat_serving': 5.4, 'saturated-fat_unit': 'g', 'saturated-fat_value': 30, 'sodium': 0.052, 'sodium_100g': 0.052, 'sodium_serving': 0.00936, 'sodium_unit': 'g', 'sodium_value': 0.052, 'sugars': 14, 'sugars_100g': 14, 'sugars_serving': 2.52, 'sugars_unit': 'g', 'sugars_value': 14}",d,Dark chocolate
Lindt,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolats noirs en tablette",3046920022606,"{'carbohydrates': 22, 'carbohydrates_100g': 22, 'carbohydrates_serving': 22, 'carbohydrates_unit': 'g', 'carbohydrates_value': 22, 'cocoa': 85, 'cocoa_100g': 85, 'cocoa_label': '0', 'cocoa_serving': 85, 'cocoa_unit': 'g', 'cocoa_value': 85, 'energy': 2418, 'energy-kcal': 584, 'energy-kcal_100g': 584, 'energy-kcal_serving': 584, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 584, 'energy-kcal_value_computed': 552, 'energy-kj': 2418, 'energy-kj_100g': 2418, 'energy-kj_serving': 2420, 'energy-kj_unit': 'kJ', 'energy-kj_value': 2418, 'energy-kj_value_computed': 2288.5, 'energy_100g': 2418, 'energy_serving': 2420, 'energy_unit': 'kJ', 'energy_value': 2418, 'fat': 46, 'fat_100g': 46, 'fat_serving': 46, 'fat_unit': 'g', 'fat_value': 46, 'fiber': 0, 'fiber_100g': 0, 'fiber_serving': 0, 'fiber_unit': 'g', 'fiber_value': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 3, 'nova-group_100g': 3, 'nova-group_serving': 3, 'nutrition-score-fr': 21, 'nutrition-score-fr_100g': 21, 'proteins': 12.5, 'proteins_100g': 12.5, 'proteins_serving': 12.5, 'proteins_unit': 'g', 'proteins_value': 12.5, 'salt': 0.02, 'salt_100g': 0.02, 'salt_serving': 0.02, 'salt_unit': 'g', 'salt_value': 0.02, 'saturated-fat': 27, 'saturated-fat_100g': 27, 'saturated-fat_serving': 27, 'saturated-fat_unit': 'g', 'saturated-fat_value': 27, 'sodium': 0.008, 'sodium_100g': 0.008, 'sodium_serving': 0.008, 'sodium_unit': 'g', 'sodium_value': 0.008, 'sugars': 15, 'sugars_100g': 15, 'sugars_serving': 15, 'sugars_unit': 'g', 'sugars_value': 15}",e,Excellence Noir Puissant 85% Cacao
Primevère,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner salés, Matières grasses à tartiner, Matières grasses végétales, Margarines, Margarines allégées",3155251205296,"{'carbohydrates': 0, 'carbohydrates_100g': 0, 'carbohydrates_modifier': '~', 'carbohydrates_unit': 'g', 'carbohydrates_value': 0, 'carbon-footprint-from-known-ingredients_product': 406, 'carbon-footprint-from-known-ingredients_serving': 162, 'energy': 2033, 'energy-kcal': 495, 'energy-kcal_100g': 495, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 495, 'energy-kcal_value_computed': 495, 'energy-kj': 2033, 'energy-kj_100g': 2033, 'energy-kj_unit': 'kJ', 'energy-kj_value': 2033, 'energy-kj_value_computed': 2035, 'energy_100g': 2033, 'energy_unit': 'kJ', 'energy_value': 2033, 'fat': 55, 'fat_100g': 55, 'fat_unit': 'g', 'fat_value': 55, 'fiber_modifier': '-', 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0.2, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0.2, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0.2, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0.2, 'monounsaturated-fat': 28, 'monounsaturated-fat_100g': 28, 'monounsaturated-fat_label': 'Monounsaturated fat', 'monounsaturated-fat_unit': 'g', 'monounsaturated-fat_value': 28, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 8, 'nutrition-score-fr_100g': 8, 'omega-3-fat': 3.5, 'omega-3-fat_100g': 3.5, 'omega-3-fat_label': 'Omega 3 fatty acids', 'omega-3-fat_unit': 'g', 'omega-3-fat_value': 3.5, 'omega-6-fat': 8, 'omega-6-fat_100g': 8, 'omega-6-fat_label': 'Omega 6 fatty acids', 'omega-6-fat_unit': 'g', 'omega-6-fat_value': 8, 'omega-9-fat': 27, 'omega-9-fat_100g': 27, 'omega-9-fat_label': 'Omega 9 fatty acids', 'omega-9-fat_unit': 'g', 'omega-9-fat_value': 27, 'polyunsaturated-fat': 12, 'polyunsaturated-fat_100g': 12, 'polyunsaturated-fat_label': 'Polyunsaturated fat', 'polyunsaturated-fat_unit': 'g', 'polyunsaturated-fat_value': 12, 'proteins': 0, 'proteins_100g': 0, 'proteins_modifier': '~', 'proteins_unit': 'g', 'proteins_value': 0, 'salt': 0.4, 'salt_100g': 0.4, 'salt_unit': 'g', 'salt_value': 0.4, 'saturated-fat': 15, 'saturated-fat_100g': 15, 'saturated-fat_unit': 'g', 'saturated-fat_value': 15, 'sodium': 0.16, 'sodium_100g': 0.16, 'sodium_unit': 'g', 'sodium_value': 0.16, 'sugars': 0, 'sugars_100g': 0, 'sugars_modifier': '~', 'sugars_unit': 'g', 'sugars_value': 0, 'vitamin-b1': 0.00055, 'vitamin-b1_100g': 0.00055, 'vitamin-b1_label': 'Vitamin B1 (Thiamin)', 'vitamin-b1_unit': 'mg', 'vitamin-b1_value': 0.55, 'vitamin-e': 0.012, 'vitamin-e_100g': 0.012, 'vitamin-e_label': 'Vitamin E', 'vitamin-e_unit': 'mg', 'vitamin-e_value': 12}",c,Tartine Doux
